Strain,MouseID,Sex,theta1,theta2,theta3,bin_avg_5.Corner_time_secs,bin_avg_5.Corner_distance_cm,bin_avg_20.Corner_time_secs,bin_avg_20.Corner_distance_cm,bin_avg_55.Corner_time_secs,bin_avg_55.Corner_distance_cm,bin_avg_5.Periphery_time_secs,bin_avg_5.Periphery_distance_cm,bin_avg_20.Periphery_time_secs,bin_avg_20.Periphery_distance_cm,bin_avg_55.Periphery_time_secs,bin_avg_55.Periphery_distance_cm
C57BL/6NJ,B6N_Male_S7112151_ep1-PSY,M,3.767750256225,0.109167243897875,4.25605493450675,2.28560144436922,339.4163244,8.437900842117,413.1800603,22.3739657300075,494.136703581818,4.69419995486346,753.758362904325,17.2929563326083,922.300563535537,46.2455746393963,1104.63568985012
C57BL/6NJ,B6N_Male_S7112151_ep2-PSY,M,5.46224097504,0.126964950341472,4.55469044100075,1.57193302198428,75.94785636,9.23502613264764,86.201687775,21.2969862015206,68.2198870727273,4.51076432395489,256.221984503455,18.4225383604908,213.430258621577,46.9047064659492,186.554419280457
C57BL/6NJ,B6N_Male_S7112151_ep3-PSY,M,7.0918799943095,0.145691142684882,3.15966649602575,1.49099817684594,84.5692567,9.11616726296959,104.328161415,26.3629829108285,86.4753091218182,4.08671376481313,265.782678140004,17.7107558139535,254.845027351175,49.9530250263222,203.20212451877
C57BL/6NJ,B6N_Male_S7112151_ep4-PSY,M,7.1893619485123,0.095185135044105,6.9568482959525,1.625844111251,73.5711669,9.01530626521532,83.61212309,26.6051226996972,83.0547742618182,4.47350349090077,215.112548294067,18.7217729524023,208.049150955084,51.6761700274466,195.618131588261
C57BL/6NJ,B6N_Male_S7112151_ep5-PSY,M,7.2708447995205,0.10785309368655,0.1050389255125,1.4170692431562,213.2720448,8.33977699333221,468.30112705,23.6152147040347,393.097532836364,3.57602944559466,641.415708386649,15.1991931417045,914.0548404062,43.1823616430583,799.483789386171
C57BL/6NJ,B6N_Female_S7144122_ep1-PSY,F,2.387636009855,0.087591809756825,6.2152917850925,0.999323638823131,68.18168718,4.52287363050933,60.37158815,12.5402291875272,57.9393301109091,2.83556857883467,268.360921618144,11.6856688874641,193.102640370234,32.399896837357,185.939204746544
C57BL/6NJ,B6N_Female_S7144122_ep2-PSY,F,3.3462317825,0.0995098443588875,5.765760137,2.36744133574007,127.47655898,7.77604282846308,115.74168275,23.369325538113,102.313138643636,4.40320397111913,325.873528082907,17.8122908766451,335.420239226417,47.9419707881534,282.451753677317
C57BL/6NJ,B6N_Female_S7144122_ep3-PSY,F,6.67895283935775,0.0971024457392715,9.3756060542,2.9670267837047,140.6962685,9.975477902246,109.600555725,17.8822583581093,68.5585079438182,4.63200540175557,340.967581722229,17.8063868918241,260.937920370102,43.5367999514593,198.041442295851
C57BL/6NJ,B6N_Female_S7144122_ep4-PSY,F,10.3208698375,0.17369884194525,4.223779206871,0.917446712529604,55.6419999,10.0125463517997,112.601152035,30.2684414415326,107.681144303636,3.75155069358295,259.166473821004,17.9585691582792,282.806598279072,49.3501876258003,255.424885295521
C57BL/6NJ,B6N_Female_S7144122_ep5-PSY,F,9.006711072,0.104832585305748,4.63336193872725,1.77503104187832,126.42631184,5.6683119997769,100.617030185,14.0099535702364,83.6735372763636,4.5264702562366,396.107972895304,16.4254441005048,333.320543033525,38.8748116003601,273.763458715042
C57BL/6NJ,B6N_Male_S6889610_ep1-PSY,M,14.6790228675,0.15491684269725,6.359102271683,3.22118098679011,172.39817304,13.2163873162841,131.16693538,31.0576388116168,111.291752116364,4.73975386699786,376.130774480575,19.419360236495,291.13221481959,50.6921108267498,256.863749673176
C57BL/6NJ,B6N_Male_S6889610_ep10-PSY,M,11.7249415825,0.11816385754654,7.566791828325,2.00583724390523,112.46812994,10.4077007023533,103.218507185,30.5656440847909,86.7078176690909,3.50406317958109,252.533065254025,17.1721185326133,228.443269511704,50.9230582253866,196.901702589893
C57BL/6NJ,B6N_Male_S6889610_ep2-PSY,M,8.87258255014,0.09258942960575,6.001437770223,2.68489289740699,142.3030981,12.2403122386395,125.245195385,30.9345099625771,113.995518841818,4.59141118124436,345.276026991385,19.2456512042819,278.86227804518,50.2477445586212,258.020254220988
C57BL/6NJ,B6N_Male_S6889610_ep3-PSY,M,5.4260662184895,0.0662040543774575,9.54383217277975,2.62562245359891,136.0989738,8.04163411094988,89.413781055,29.2222975434052,94.9211100418182,4.58578542326845,321.987189061035,18.4590914164527,245.688534718294,51.8375389534178,225.906258655148
C57BL/6NJ,B6N_Male_S6889610_ep4-PSY,M,5.83557958497325,0.062660184659475,11.0946278719425,1.71426958681418,82.60112256,5.57309387026605,66.980445485,25.1443990370026,81.7931243218182,4.47392187852788,247.31160418951,17.5341625299794,211.178682502273,50.8039814683688,205.028868291325
C57BL/6NJ,B6N_Male_S6889610_ep5-PSY,M,8.462424317875,0.18323477461795,3.55935227938725,2.32235799954741,123.02797836,13.2752943802668,123.401043265,36.7840810214695,105.748733001818,4.42866840140287,293.959218262352,18.8007477887218,246.684114075938,50.7124717975698,197.620612830662
C57BL/6NJ,B6N_Male_S6889610_ep6-PSY,M,5.455723539235,0.126870648055325,3.068574130835,3.1663644605621,159.07192138,14.2859535506923,133.35685495,39.1106411398041,127.730744832727,4.6855167724388,330.155535059374,19.1849039749888,239.680263975323,52.1349065004452,228.525085466979
C57BL/6NJ,B6N_Male_S6889610_ep7-PSY,M,12.68105683,0.08838622801372,7.196255822515,2.15958172311889,104.61694884,11.2961617967484,99.634045615,28.404066883945,96.8838268109091,4.26218334658639,273.49584832268,18.5314079825713,224.340607360399,48.8371810572553,229.910811608898
C57BL/6NJ,B6N_Male_S6889610_ep8-PSY,M,9.6888544325,0.135982799558567,5.3877834217083,1.94663017447828,111.27660466,12.4990913919875,120.925744655,26.5926049671456,98.4469041418182,4.66073668605314,331.44197876604,19.0170259162962,242.463187218,46.511861009021,235.007411697888
C57BL/6NJ,B6N_Male_S6889610_ep9-PSY,M,13.9594647625,0.0861610109243,8.139974667232,3.22741326004809,170.90361114,12.1103741639381,121.85402662,32.405730606788,110.991089187273,4.89866025420818,360.660816883938,18.8419668093919,277.442829152487,50.7791721106418,254.936890887636
