"","Strain","MouseID","Sex","CoatColor","Asymptote","Slope","Inf_point"
"1","BALB/cJ","LL1-1_BalbcJ","M","Albino",11.0397841491409,0.0406545977301047,18.2015936962927
"2","BALB/cJ","LL1-4_BalbcJ","M","Albino",14.5272652050473,0.121802756861415,4.96751871942175
"3","BALB/cJ","LL1-1_000651-M-MP16-9-42395-1-S009","M","Albino",10.8401809037182,0.0666826857883208,9.76290253858458
"4","BALB/cJ","LL1-2_000651-M-MP16-9-42395-2-S009","M","Albino",10.3079137118941,0.0362457057463834,18.8648012061151
"5","BALB/cJ","LL1-3_000651-M-MP16-9-42395-3-S009","M","Albino",9.39027918209018,0.0848795286843131,7.43329251854321
"6","BALB/cJ","LL1-4_000651-M-MP16-9-42395-4-S009","M","Albino",9.81585833229934,0.07190898838436,8.62468187143734
"7","BALB/cJ","LL2-1_000651-M-MP16-9-42395-5-S012","M","Albino",10.6908038106905,0.0307633321363866,22.1841411425696
"8","BALB/cJ","LL2-2_000651-M-MP16-9-42395-6-S012","M","Albino",8.92706669341511,0.0982535242238254,6.14357964151916
"9","BALB/cJ","LL2-3_000651-M-MP16-9-42395-7-S012","M","Albino",12.4605061132256,0.0923553097949349,7.04854873792973
"10","BALB/cJ","LL2-4_000651-M-MP16-9-42395-8-S012","M","Albino",9.86627881067844,0.0675546844336294,9.56267202454231
"11","BALB/cJ","LL3-1_000651-M-MP14-9-42395-1-S010","M","Albino",11.5971045880141,0.0975569707446176,6.3599450853474
"12","BALB/cJ","LL3-2_000651-M-MP14-9-42395-2-S010","M","Albino",13.0923759076122,0.0392339553585135,15.4819273537965
"13","BALB/cJ","LL3-3_000651-M-MP14-9-42395-3-S010","M","Albino",13.6674153468778,0.115202129120239,5.66055786738211
"14","BALB/cJ","LL3-4_000651-M-MP14-9-42395-4-S010","M","Albino",11.5023877483996,0.109421541027409,5.74993914756044
"15","BALB/cJ","LL4-1_000651-M-MP14-9-42395-5-S013","M","Albino",14.2720630937898,0.0836298921511925,8.72119732789485
"16","BALB/cJ","LL4-2_000651-M-MP14-9-42395-6-S013","M","Albino",11.923444651884,0.0725001690454881,9.04635756379118
"17","BALB/cJ","LL4-3_000651-M-MP14-9-42395-7-S013","M","Albino",14.0749927197015,0.10830919215965,5.32993395193884
"18","BALB/cJ","LL4-4_000651-M-MP14-9-42395-8-S013","M","Albino",10.2884304060486,0.0625100214369551,10.0111713294993
"19","BALB/cJ","LL5-1_000651-M-MP13-9-42395-1-S011","M","Albino",14.3738216083947,0.0576882262623678,13.0541622624309
"20","BALB/cJ","LL5-2_000651-M-MP13-9-42395-2-S011","M","Albino",12.7842261752767,0.0485361976254884,14.7748667432881
"21","BALB/cJ","LL5-3_000651-M-MP13-9-42395-3-S011","M","Albino",13.2961440427002,0.0406365571152322,17.7109688556847
"22","BALB/cJ","LL5-4_000651-M-MP13-9-42395-4-S011","M","Albino",10.3635414960299,0.106691668220552,5.99979819558478
"23","BALB/cJ","000651-F-MP14-8.28571428571429-42906-1-S426","F","BALB/cJ",13.656760616863,0.0587589028641386,11.7644279140219
"24","BALB/cJ","000651-F-MP14-8.28571428571429-42906-2-S426","F","BALB/cJ",12.3852277204522,0.0765628875170072,8.83837875702484
"25","BALB/cJ","000651-F-MP14-8.28571428571429-42906-3-S426","F","BALB/cJ",14.6128588527876,0.0724198258577917,11.2543789968475
"26","BALB/cJ","000651-F-MP14-8.28571428571429-42906-4-S426","F","BALB/cJ",11.1393062893973,0.0344280925196017,19.3337165385791
"27","BALB/cJ","LL6-1_000651-M-MP13-9-42395-5-S014","M","Albino",12.2300436645753,0.0454871012642984,12.94383894826
"28","BALB/cJ","LL6-2_000651-M-MP13-9-42395-6-S014","M","Albino",14.8016564271055,0.0928625236549239,7.09361793104356
"29","BALB/cJ","LL6-3_000651-M-MP13-9-42395-7-S014","M","Albino",12.6417648267258,0.059499297391791,11.503757759132
"30","BALB/cJ","000651-F-MP14-8.28571428571429-42906-5-S427","F","BALB/cJ",11.298306682546,0.0341727138186736,19.6185991272735
"31","BALB/cJ","000651-F-MP14-8.28571428571429-42906-6-S427","F","BALB/cJ",14.014556824368,0.0974746566022268,6.49851505035169
"32","BALB/cJ","000651-F-MP14-8.28571428571429-42906-7-S427","F","BALB/cJ",11.3401002065728,0.0574176482731078,12.2585176370561
"33","BALB/cJ","000651-F-MP14-8.28571428571429-42906-8-S427","F","BALB/cJ",9.86641790517273,0.0747480256672691,7.94551398491755
"34","C57BL/6J","LL1-1_C57BL6J","M","Black",4.32691491739819,0.104435169551289,7.39106805667307
"35","C57BL/6J","LL1-2_C57BL6J","M","Black",7.91036547919217,0.109606557922342,7.1207073204111
"36","C57BL/6J","LL1-3_C57BL6J","M","Black",6.10571343918446,0.0634544701872305,13.0076637212625
"37","C57BL/6J","LL1-4_C57BL6J","M","Black",6.93865325852207,0.0569386666299223,14.7196006241475
"38","C57BL/6J","WT001G13N5F80140F-33-PSY","F","SIT/BAT",4.94497494203143,0.142690608699051,4.93936186799862
"39","C57BL/6J","WT001G13N5F80141F-34-PSY","F","SIT/BAT",7.36679781772344,0.148830442289357,5.12702037636716
"40","C57BL/6J","WT001G13N5F80142F-35-PSY","F","SIT/BAT",7.70386868959463,0.0781770759012655,11.1985870643965
"41","C57BL/6J","B6J_Male_S6927683_ep1-PSY","M","Albino",9.22706599639438,0.15206192257324,5.1811393686134
"42","C57BL/6J","WT001G13N5F80231F-31-PSY","F","B6J",8.42543156205056,0.0754815944923004,10.9420861829637
"43","C57BL/6J","WT001G13N5F80143M-43-PSY","M","B6J",5.27218022349454,0.0908919330455213,9.19171431872455
"44","C57BL/6J","WT001G13N5F80144M-44-PSY","M","B6J",6.77209261878628,0.0929877448151318,7.9934392337629
"45","C57BL/6J","WT001G13N5F80232M-32-PSY","M","B6J",7.13381184947261,0.0379117801065001,22.869251624259
"46","C57BL/6J","B6J_Male_S7387790M-1-PSY","M","Surplus B6J",8.16541787945245,0.0484239135393166,16.6678231519504
"47","C57BL/6J","B6J_Male_S7387790M-2-PSY","M","Surplus B6J",7.07579438386736,0.139769349480172,4.71799619126841
"48","C57BL/6J","B6J_Male_S7387790M-3-PSY","M","Surplus B6J",8.3679598010349,0.117965458017613,7.00666444285962
"49","C57BL/6J","LL2-2_C57BL6J","M","Black",6.76439995003304,0.0780491607249285,9.32789887025179
"50","C57BL/6J","LL2-4_C57BL6J","M","Black",5.51796824865319,0.140966919674835,5.47629643590741
"51","C57BL/6J","LL2-1_B6J_M","M","Black",7.80454142701529,0.151992201595187,4.92204978871783
"52","C57BL/6J","LL2-2_B6J_M","M","Black",8.28598533688115,0.114353567859372,6.93451508310973
"53","C57BL/6J","LL2-3_B6J_M","M","Black",7.79775973730239,0.100367139497519,7.85931195899613
"54","C57BL/6J","LL2-4_B6J_M","M","Black",9.0463722928224,0.12900519542023,5.837174867868
"55","C57BL/6J","B6J_Male_S6742961_ep3-BAT","M","Black",6.36796340349409,0.0799729462234152,9.63378096747163
"56","C57BL/6J","WT001G13N5F80148M-48-PSY","M","B6J",7.42570746557057,0.0768251092999983,10.7677937785563
"57","C57BL/6J","WT001G13N5F80149M-49-PSY","M","B6J",5.79023987131524,0.0400562452049186,20.9373868782443
"58","C57BL/6J","WT001G15N5F100401F-1-PSY","F","B6J",6.13545129940501,0.100627981403248,8.19211121977394
"59","C57BL/6J","B6J_Male_S7387790M-5-PSY","M","Surplus B6J",16.1069534589785,0.0640249166772925,13.473461678379
"60","C57BL/6J","B6J_Male_S7387790M-6-PSY","M","Surplus B6J",8.14208046488436,0.137599294163142,6.07098566733447
"61","C57BL/6J","B6J_Male_S7387790M-7-PSY","M","Surplus B6J",8.43303839501014,0.0516346161226984,16.8384537880067
"62","C57BL/6J","B6J_Male_S7387790M-8-PSY","M","Surplus B6J",10.0363610705295,0.0747110160646126,11.9030711191721
"63","C57BL/6J","LL3-1_C57BL6J","F","Black",7.68726810348724,0.104626760100862,8.02185920184573
"64","C57BL/6J","LL3-2_C57BL6J","F","Black",6.09531903862525,0.0632316887205106,13.097953109417
"65","C57BL/6J","LL3-3_C57BL6J","F","Black",4.82326606660067,0.136824137939159,5.37488936558268
"66","C57BL/6J","LL3-4_C57BL6J","F","Black",8.29835059853185,0.152313862816824,5.26638790605846
"67","C57BL/6J","B6J_Female_S6933514_ep1-BAT","F","Black",10.6584820985158,0.20836251636034,3.53013729016809
"68","C57BL/6J","B6J_Female_S6933514_ep2-BAT","F","Black",1.72920664742839,0.0786544076944751,10.2825850291064
"69","C57BL/6J","B6J_Female_S6933514_ep3","F","Black",7.17295804714938,0.122528803829044,6.5844444448184
"70","C57BL/6J","B6J_Female_S6933514_ep4","F","Black",7.14666324536456,0.0610895499290911,13.5188244844207
"71","C57BL/6J","WT001G14N5F90233M-33-PSY","M","B6J",7.05577486121481,0.0433757519805726,20.3977948060275
"72","C57BL/6J","WT001G14N5F90234M-34-PSY","M","B6J",8.49209484499828,0.113140789279468,6.9343180394642
"73","C57BL/6J","WT001G15N5F100116F-16-PSY","F","B6J",9.20253055997132,0.07773369753056,11.7125402484155
"74","C57BL/6J","B6J_Male_S7378566_6-PSY","M","Surplus B6J",10.479965331172,0.0683436171272775,12.7784521377097
"75","C57BL/6J","B6J_Male_S7378566_7-PSY","M","Surplus B6J",8.076201039088,0.038133546298746,21.4427400099569
"76","C57BL/6J","WT001G15N5F100402F-2-PSY","F","B6J",7.68506963767386,0.0887747979889848,8.75537308983667
"77","C57BL/6J","B6J_Male_S7387790M-10-PSY","M","Surplus B6J",5.82783242688326,0.0302700255738928,27.6020163202694
"78","C57BL/6J","B6J_Male_S7387790M-9-PSY","M","Surplus B6J",7.0243177662946,0.0791814021249861,10.8346210246158
"79","C57BL/6J","LL4-3_C57BL6J","F","Black",8.0607062450443,0.131591180700532,6.37718347594453
"80","C57BL/6J","LL4-4C57BL6J","F","Black",9.07524008357247,0.0536078901220085,12.6680858531047
"81","C57BL/6J","B6J_Female_S6933514_ep6","F","Black",7.3488742608661,0.141200345311476,5.91691278925735
"82","C57BL/6J","B6J_Female_S6933514_ep7","F","Black",7.82726061418978,0.0952208724363579,8.07524747047508
"83","C57BL/6J","B6J_Female_S6933514_ep8","F","Black",3.70958698320992,0.0793116991506463,10.1125041726574
"84","C57BL/6J","B6J_Male_S6927683_ep2-PSY","M","Black",8.17163126437037,0.138841695761346,5.49426795428523
"85","C57BL/6J","WT001G14N5F90220F-20-PSY","F","B6J",6.64108086035115,0.0837295659178869,9.40932315106225
"86","C57BL/6J","WT001G14N5F90221F-21-PSY","F","B6J",6.44119957408994,0.152595514184591,4.90316460953521
"87","C57BL/6J","WT001G15N5F100117F-17-PSY","F","B6J",4.95742871736831,0.109593861477356,7.17284460168032
"88","C57BL/6J","WT001G15N5F100118F-18-PSY","F","B6J",8.87621674573713,0.0779800865720979,11.0138549990689
"89","C57BL/6J","B6J_Male_S7378566_10-PSY","M","Surplus B6J",5.77442367699437,0.0869393543899108,9.35952446796315
"90","C57BL/6J","B6J_Male_S7378566_8-PSY","M","Surplus B6J",7.03651082276599,0.0881122522949736,9.2200253101988
"91","C57BL/6J","B6J_Male_S7378566_9-PSY","M","Surplus B6J",4.29689312884634,0.0962924308339373,8.47130598479964
"92","C57BL/6J","LL5-1_B6J_F","F","Black",6.43787388882222,0.139089410417789,5.33123121498643
"93","C57BL/6J","LL5-2_B6J_F","F","Black",6.8259590938047,0.0893681410678924,9.23751068297756
"94","C57BL/6J","LL5-3_B6J_F","F","Black",8.04788028493855,0.0563348195993332,15.7224376456516
"95","C57BL/6J","LL5-4_B6J_F","F","Black",5.55278817421786,0.142192194584107,5.34135497417856
"96","C57BL/6J","B6J_Male_S6927683_ep3-PSY","M","Black",6.18651099688059,0.0251308840241545,32.8292551981592
"97","C57BL/6J","B6J_Male_S6927683_ep4-PSY","M","Black",6.47973004104982,0.14922358511267,5.37949046554678
"98","C57BL/6J","B6J_Male_S6927683_ep5-PSY","M","Black",9.59574399913984,0.156125898669718,5.1600729523103
"99","C57BL/6J","B6J_Male_S7275001_ep1-PSY","M","Black",6.7163282788732,0.139206976389608,5.71730035446985
"100","C57BL/6J","B6J_Male_S7275001_ep2-PSY","M","Black",5.78330244505557,0.140968076124485,5.50995934679415
"101","C57BL/6J","WT001G14N5F90211F-11-PSY","F","test once",6.59964636666749,0.129211424524799,5.98378463087706
"102","C57BL/6J","WT001G14N5F90201M-1-PSY","M","B6J",6.63857574005467,0.0835748645180675,9.62742086579613
"103","C57BL/6J","WT001G14N5F90202M-2-PSY","M","B6J",9.65260471711577,0.121995487439008,7.56443789256946
"104","C57BL/6J","WT001G14N5F90217M-17-PSY","M","B6J",7.95733237221074,0.168806947942568,4.1760872592289
"105","C57BL/6J","WT001G14N5F90218M-18-PSY","M","B6J",6.77326347501104,0.0906758717071625,8.02807154349395
"106","C57BL/6J","WT001G14N5F90219M-19-PSY","M","B6J",8.14803967626957,0.194983166780132,3.93101107270614
"107","C57BL/6J","WT001G14N5F90222F-22-PSY","F","B6J",8.50250512530209,0.169488146466868,4.48688653465818
"108","C57BL/6J","WT001G14N5F90230F-30-PSY","F","B6J",9.03898543382049,0.0961952689607588,9.37949177206276
"109","C57BL/6J","WT001G14N5F90231F-31-PSY","F","B6J",11.9764126775604,0.0542298428448631,14.1997046955742
"110","C57BL/6J","WT001G14N5F90232F-32-PSY","F","B6J",7.30916656609383,0.125765147548331,6.20073453384423
"111","C57BL/6J","WT001G14N5F90118M-18-PSY","M","B6J",8.99372141244109,0.115260708768141,7.36896216146058
"112","C57BL/6J","B6J_Male_S7060215-ep1-PSY","M","Surplus B6J",16.0913603840787,0.0616345634805496,13.3406091309768
"113","C57BL/6J","B6J_Male_S7060215-ep2-PSY","M","Surplus B6J",14.6606868819049,0.0636773656592764,8.72212062907255
"114","C57BL/6J","B6J_Male_S7060215-ep3-PSY","M","Surplus B6J",10.9085425461421,0.0560113912223011,12.6517497403699
"115","C57BL/6J","WT001G15N5F100111M-11-PSY","M","B6J",6.38093423430396,0.051864566802649,16.0753553032406
"116","C57BL/6J","WT001G15N5F100218F-18-PSY","F","B6J",8.60970614648582,0.113917022837974,6.73571554112371
"117","C57BL/6J","WT001G15N5F100219F-19-PSY","F","B6J",6.13763077356614,0.0308117183283951,26.6951186883808
"118","C57BL/6J","WT001G15N5F100220F-20-PSY","F","B6J",5.24056962034284,0.0537916547142078,15.1624668074458
"119","C57BL/6J","LL6-1_C57BL6J","F","Black",6.33597369701611,0.118409265222333,6.7787380738921
